ArraySize,Run,Kth,EmpiricalComparisons,ExpectedComparisons,RunningTime(us)
20000,12,Median,27567,40000,2534
20000,13,First,23297,40000,1745
20000,13,25%,15943,40000,2252
20000,13,Median,27084,40000,2402
20000,14,First,23185,40000,1808
20000,14,25%,16871,40000,2433
20000,14,Median,27365,40000,2324
20000,15,First,22975,40000,1610
20000,15,25%,16943,40000,2367
20000,15,Median,26312,40000,2288
20000,16,First,23191,40000,1719
20000,16,25%,18416,40000,2461
20000,16,Median,25743,40000,2272
20000,17,First,23327,40000,1645
20000,17,25%,16336,40000,2301
20000,17,Median,26429,40000,2291
20000,18,First,23257,40000,2042
20000,18,25%,16970,40000,2502
20000,18,Median,26799,40000,2423
20000,19,First,23459,40000,1634
20000,19,25%,16479,40000,2306
20000,19,Median,27171,40000,2273
20000,20,First,23445,40000,2327
20000,20,25%,17269,40000,2622
20000,20,Median,27395,40000,2497
20000,21,First,23241,40000,1631
20000,21,25%,15978,40000,2294
20000,21,Median,26594,40000,2278
20000,22,First,23767,40000,1947
20000,22,25%,17034,40000,2295
20000,22,Median,26669,40000,2279
20000,23,First,23087,40000,1625
20000,23,25%,16740,40000,2350
20000,23,Median,27266,40000,2321
20000,24,First,22767,40000,1611
20000,24,25%,16641,40000,2507
20000,24,Median,26590,40000,2319
20000,25,First,23419,40000,1676
20000,25,25%,17378,40000,2320
20000,25,Median,26599,40000,2429
20000,26,First,23533,40000,1659
20000,26,25%,16341,40000,2302
20000,26,Median,25903,40000,2282
20000,27,First,23519,40000,1673
20000,27,25%,16561,40000,2448
20000,27,Median,27341,40000,2374
20000,28,First,23757,40000,1690
20000,28,25%,16410,40000,2329
20000,28,Median,26460,40000,2296
20000,29,First,23497,40000,1675
20000,29,25%,17006,40000,2447
20000,29,Median,26359,40000,2582
20000,30,First,22729,40000,1630
20000,30,25%,16947,40000,2282
20000,30,Median,28099,40000,2340
20000,31,First,23449,40000,1642
20000,31,25%,15775,40000,2775
20000,31,Median,27049,40000,2312
20000,32,First,23419,40000,1656
20000,32,25%,17070,40000,2387
20000,32,Median,27311,40000,2345
20000,33,First,23675,40000,1762
20000,33,25%,17157,40000,2477
20000,33,Median,26820,40000,2288
20000,34,First,23583,40000,1646
20000,34,25%,15104,40000,2249
20000,34,Median,25921,40000,2264
20000,35,First,22779,40000,1761
20000,35,25%,15899,40000,2397
20000,35,Median,27046,40000,2316
20000,36,First,23339,40000,1648
20000,36,25%,16620,40000,2304
20000,36,Median,27093,40000,2295
20000,37,First,23733,40000,1739
20000,37,25%,16500,40000,2337
20000,37,Median,26706,40000,2355
20000,38,First,23427,40000,1668
20000,38,25%,15802,40000,2308
20000,38,Median,26097,40000,2440
20000,39,First,23739,40000,2326
20000,39,25%,16719,40000,3121
20000,39,Median,26421,40000,2304
20000,40,First,22913,40000,1603
20000,40,25%,17528,40000,2589
20000,40,Median,26932,40000,2312
20000,41,First,23139,40000,1791
20000,41,25%,17315,40000,2614
20000,41,Median,25763,40000,2859
20000,42,First,23271,40000,1769
20000,42,25%,16916,40000,2630
20000,42,Median,27199,40000,2578
20000,43,First,23559,40000,1644
20000,43,25%,15236,40000,2299
20000,43,Median,26671,40000,2324
20000,44,First,23055,40000,1622
20000,44,25%,16654,40000,2494
20000,44,Median,25688,40000,2274
20000,45,First,23197,40000,1613
20000,45,25%,16936,40000,2330
20000,45,Median,27609,40000,2350
20000,46,First,23257,40000,1672
20000,46,25%,16861,40000,2570
20000,46,Median,26923,40000,2443
20000,47,First,23173,40000,1646
20000,47,25%,16202,40000,2484
20000,47,Median,27100,40000,2320
20000,48,First,22813,40000,1611
20000,48,25%,15149,40000,2303
20000,48,Median,25771,40000,2340
20000,49,First,23365,40000,1664
20000,49,25%,17549,40000,2326
20000,49,Median,26638,40000,2320
20000,50,First,23269,40000,1669
20000,50,25%,14652,40000,2334
