ArraySize,Run,Kth,EmpiricalComparisons,ExpectedComparisons,RunningTime(us)
20000,32,First,2,67720,16
20000,32,25%,66162,67720,707
20000,32,Median,62950,67720,579
20000,33,First,20001,67720,150
20000,33,25%,71997,67720,813
20000,33,Median,57344,67720,420
20000,34,First,46519,67720,268
20000,34,25%,83128,67720,565
20000,34,Median,45220,67720,288
20000,35,First,2,67720,8
20000,35,25%,87214,67720,980
20000,35,Median,73622,67720,625
20000,36,First,3,67720,17
20000,36,25%,67737,67720,961
20000,36,Median,56298,67720,505
20000,37,First,3,67720,16
20000,37,25%,87615,67720,1106
20000,37,Median,62810,67720,420
20000,38,First,20001,67720,123
20000,38,25%,43705,67720,726
20000,38,Median,64264,67720,489
20000,39,First,20000,67720,148
20000,39,25%,93391,67720,871
20000,39,Median,45053,67720,291
20000,40,First,2,67720,17
20000,40,25%,46939,67720,616
20000,40,Median,50193,67720,382
20000,41,First,20001,67720,169
20000,41,25%,90743,67720,844
20000,41,Median,78104,67720,670
20000,42,First,33222,67720,243
20000,42,25%,54330,67720,608
20000,42,Median,44948,67720,344
20000,43,First,3,67720,16
20000,43,25%,76325,67720,924
20000,43,Median,42486,67720,283
20000,44,First,20001,67720,121
20000,44,25%,109831,67720,1180
20000,44,Median,44281,67720,540
20000,45,First,2,67720,8
20000,45,25%,68675,67720,811
20000,45,Median,60811,67720,573
20000,46,First,37192,67720,221
20000,46,25%,54152,67720,460
20000,46,Median,54220,67720,453
20000,47,First,20001,67720,155
20000,47,25%,84605,67720,638
20000,47,Median,60324,67720,419
20000,48,First,20002,67720,142
20000,48,25%,82771,67720,895
20000,48,Median,60437,67720,493
20000,49,First,32779,67720,240
20000,49,25%,58064,67720,792
20000,49,Median,50688,67720,408
20000,50,First,20000,67720,151
20000,50,25%,68132,67720,535
20000,50,Median,72431,67720,780
20000,51,First,32907,67720,297
20000,51,25%,91101,67720,907
20000,51,Median,54344,67720,967
20000,52,First,37640,67720,233
20000,52,25%,53740,67720,605
20000,52,Median,68392,67720,612
20000,53,First,2,67720,17
20000,53,25%,64980,67720,833
20000,53,Median,63869,67720,555
20000,54,First,2,67720,17
20000,54,25%,51719,67720,726
20000,54,Median,82033,67720,876
20000,55,First,20000,67720,143
20000,55,25%,75933,67720,852
20000,55,Median,43620,67720,474
20000,56,First,20001,67720,162
20000,56,25%,64181,67720,810
20000,56,Median,59429,67720,616
20000,57,First,2,67720,17
20000,57,25%,65819,67720,1090
20000,57,Median,79111,67720,562
20000,58,First,33132,67720,242
20000,58,25%,96077,67720,1007
20000,58,Median,50455,67720,464
20000,59,First,20001,67720,123
20000,59,25%,36089,67720,583
20000,59,Median,76597,67720,738
20000,60,First,2,67720,8
20000,60,25%,71210,67720,1019
20000,60,Median,98230,67720,806
20000,61,First,20001,67720,157
20000,61,25%,68955,67720,916
20000,61,Median,61240,67720,396
20000,62,First,20002,67720,148
20000,62,25%,63012,67720,665
20000,62,Median,59644,67720,538
20000,63,First,47599,67720,332
20000,63,25%,58717,67720,642
20000,63,Median,83421,67720,602
20000,64,First,20002,67720,137
20000,64,25%,53505,67720,642
20000,64,Median,75250,67720,591
20000,65,First,2,67720,16
20000,65,25%,58519,67720,795
20000,65,Median,69201,67720,659
20000,66,First,2,67720,16
20000,66,25%,94286,67720,1045
20000,66,Median,47489,67720,493
20000,67,First,3,67720,17
20000,67,25%,77343,67720,892
20000,67,Median,51669,67720,605
20000,68,First,2,67720,8
20000,68,25%,103664,67720,1049
20000,68,Median,41223,67720,552
20000,69,First,2,67720,17
20000,69,25%,75349,67720,995
20000,69,Median,61560,67720,553
20000,70,First,2,67720,8
20000,70,25%,54773,67720,750
20000,70,Median,55915,67720,608
20000,71,First,65388,67720,452
20000,71,25%,32637,67720,440
20000,71,Median,62258,67720,669
20000,72,First,2,67720,20
20000,72,25%,64906,67720,738
20000,72,Median,40265,67720,323
20000,73,First,20000,67720,157
20000,73,25%,81420,67720,1026
20000,73,Median,51667,67720,344
20000,74,First,2,67720,19
20000,74,25%,46467,67720,633
20000,74,Median,74310,67720,855
20000,75,First,20001,67720,121
20000,75,25%,86930,67720,1127
20000,75,Median,38704,67720,443
20000,76,First,2,67720,8
20000,76,25%,65089,67720,655
20000,76,Median,83392,67720,683
20000,77,First,3,67720,16
20000,77,25%,91233,67720,1190
20000,77,Median,67481,67720,618
20000,78,First,20001,67720,166
20000,78,25%,121049,67720,937
20000,78,Median,71694,67720,586
20000,79,First,2,67720,17
20000,79,25%,47487,67720,684
20000,79,Median,84698,67720,774
20000,80,First,20001,67720,136
20000,80,25%,60078,67720,738
20000,80,Median,75218,67720,629
20000,81,First,2,67720,17
20000,81,25%,124441,67720,1309
20000,81,Median,39939,67720,489
20000,82,First,29722,67720,241
20000,82,25%,102581,67720,895
20000,82,Median,54484,67720,256
20000,83,First,20001,67720,150
20000,83,25%,60262,67720,480
20000,83,Median,60226,67720,569
20000,84,First,2,67720,17
20000,84,25%,128978,67720,1261
20000,84,Median,110311,67720,775
20000,85,First,38903,67720,236
20000,85,25%,39860,67720,611
20000,85,Median,92926,67720,701
20000,86,First,20001,67720,148
20000,86,25%,42148,67720,599
20000,86,Median,49064,67720,586
20000,87,First,36842,67720,238
20000,87,25%,71907,67720,767
20000,87,Median,52634,67720,550
20000,88,First,2,67720,16
20000,88,25%,78122,67720,1138
20000,88,Median,67555,67720,500
20000,89,First,20001,67720,144
20000,89,25%,39549,67720,607
20000,89,Median,60323,67720,536
20000,90,First,2,67720,8
20000,90,25%,86356,67720,782
20000,90,Median,61408,67720,450
20000,91,First,20001,67720,130
20000,91,25%,47855,67720,583
20000,91,Median,85162,67720,869
20000,92,First,2,67720,8
20000,92,25%,64430,67720,839
20000,92,Median,58076,67720,525
20000,93,First,2,67720,16
20000,93,25%,122834,67720,979
20000,93,Median,47015,67720,565
20000,94,First,20001,67720,148
20000,94,25%,99991,67720,698
20000,94,Median,39022,67720,276
20000,95,First,68201,67720,461
20000,95,25%,72118,67720,793
20000,95,Median,114161,67720,627
20000,96,First,20001,67720,140
20000,96,25%,75013,67720,858
20000,96,Median,53884,67720,485
20000,97,First,38588,67720,252
20000,97,25%,48961,67720,653
20000,97,Median,53637,67720,749
20000,98,First,20001,67720,148
20000,98,25%,67764,67720,533
20000,98,Median,34234,67720,446
20000,99,First,2,67720,16
20000,99,25%,94962,67720,959
20000,99,Median,55439,67720,651
20000,100,First,2,67720,8
20000,100,25%,82612,67720,843
20000,100,Median,73806,67720,591
20000,Average,First,13839.6,67720,103
20000,Average,25%,72134.2,67720,826
20000,Average,Median,62473.2,67720,561
40000,1,First,67035,135440,422
40000,1,25%,91422,135440,962
40000,1,Median,174776,135440,1209
40000,2,First,2,135440,17
40000,2,25%,67720,135440,751
40000,2,Median,117465,135440,952
40000,3,First,3,135440,16
40000,3,25%,119847,135440,951
40000,3,Median,122012,135440,998
40000,4,First,40002,135440,283
40000,4,25%,108065,135440,1090
40000,4,Median,138552,135440,877
40000,5,First,68142,135440,439
40000,5,25%,122269,135440,1154
40000,5,Median,229315,135440,1146
40000,6,First,71296,135440,415
40000,6,25%,112495,135440,1149
40000,6,Median,78940,135440,486
40000,7,First,3,135440,16
40000,7,25%,174259,135440,1539
40000,7,Median,80572,135440,636
40000,8,First,40000,135440,248
40000,8,25%,125946,135440,1094
40000,8,Median,125113,135440,824
40000,9,First,76060,135440,451
40000,9,25%,191959,135440,1452
40000,9,Median,91589,135440,512
40000,10,First,2,135440,16
40000,10,25%,172073,135440,1640
40000,10,Median,82505,135440,650
40000,11,First,2,135440,16
40000,11,25%,151158,135440,1268
40000,11,Median,140378,135440,1011
40000,12,First,2,135440,9
40000,12,25%,138156,135440,1598
40000,12,Median,100639,135440,568
40000,13,First,40002,135440,252
40000,13,25%,133662,135440,1145
40000,13,Median,119397,135440,938
40000,14,First,40001,135440,303
